order_date,weekday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/11/15,Sunday
1/12/15,Monday
1/12/15,Monday
1/13/15,Tuesday
1/14/15,Wednesday
1/14/15,Wednesday
1/14/15,Wednesday
1/15/15,Thursday
1/22/15,Thursday
1/22/15,Thursday
1/22/15,Thursday
1/22/15,Thursday
1/22/15,Thursday
1/29/15,Thursday
1/29/15,Thursday
1/29/15,Thursday
2/5/15,Thursday
1/18/15,Sunday
1/18/15,Sunday
1/18/15,Sunday
1/18/15,Sunday
1/18/15,Sunday
1/18/15,Sunday
1/18/15,Sunday
1/18/15,Sunday
1/19/15,Monday
1/19/15,Monday
1/19/15,Monday
1/19/15,Monday
1/19/15,Monday
1/20/15,Tuesday
1/20/15,Tuesday
1/20/15,Tuesday
1/20/15,Tuesday
1/20/15,Tuesday
1/21/15,Wednesday
1/21/15,Wednesday
1/21/15,Wednesday
1/21/15,Wednesday
1/21/15,Wednesday
2/5/15,Thursday
2/5/15,Thursday
2/5/15,Thursday
2/5/15,Thursday
2/12/15,Thursday
2/12/15,Thursday
2/12/15,Thursday
2/19/15,Thursday
2/19/15,Thursday
2/19/15,Thursday
2/26/15,Thursday
2/26/15,Thursday
2/26/15,Thursday
2/26/15,Thursday
3/5/15,Thursday
3/12/15,Thursday
1/25/15,Sunday
1/25/15,Sunday
1/25/15,Sunday
1/25/15,Sunday
1/25/15,Sunday
1/25/15,Sunday
1/26/15,Monday
1/26/15,Monday
1/26/15,Monday
1/26/15,Monday
1/27/15,Tuesday
1/27/15,Tuesday
1/27/15,Tuesday
1/28/15,Wednesday
1/28/15,Wednesday
1/28/15,Wednesday
3/12/15,Thursday
3/12/15,Thursday
3/12/15,Thursday
3/12/15,Thursday
3/12/15,Thursday
3/12/15,Thursday
3/19/15,Thursday
3/19/15,Thursday
3/19/15,Thursday
3/19/15,Thursday
3/19/15,Thursday
3/26/15,Thursday
3/26/15,Thursday
3/26/15,Thursday
2/1/15,Sunday
2/1/15,Sunday
2/1/15,Sunday
2/1/15,Sunday
2/1/15,Sunday
2/2/15,Monday
2/2/15,Monday
2/2/15,Monday
2/2/15,Monday
2/3/15,Tuesday
2/3/15,Tuesday
2/3/15,Tuesday
2/3/15,Tuesday
2/4/15,Wednesday
2/4/15,Wednesday
2/4/15,Wednesday
2/4/15,Wednesday
2/4/15,Wednesday
4/2/15,Thursday
4/2/15,Thursday
4/2/15,Thursday
4/2/15,Thursday
4/2/15,Thursday
4/2/15,Thursday
4/9/15,Thursday
4/9/15,Thursday
4/16/15,Thursday
4/16/15,Thursday
4/16/15,Thursday
4/23/15,Thursday
4/23/15,Thursday
4/23/15,Thursday
4/23/15,Thursday
2/8/15,Sunday
2/8/15,Sunday
2/8/15,Sunday
2/8/15,Sunday
2/8/15,Sunday
2/8/15,Sunday
2/8/15,Sunday
2/8/15,Sunday
2/8/15,Sunday
2/9/15,Monday
2/9/15,Monday
2/9/15,Monday
2/9/15,Monday
2/9/15,Monday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/10/15,Tuesday
2/11/15,Wednesday
2/11/15,Wednesday
2/11/15,Wednesday
2/11/15,Wednesday
4/30/15,Thursday
4/30/15,Thursday
4/30/15,Thursday
4/30/15,Thursday
5/7/15,Thursday
5/7/15,Thursday
5/7/15,Thursday
5/7/15,Thursday
5/7/15,Thursday
2/15/15,Sunday
2/15/15,Sunday
2/15/15,Sunday
2/15/15,Sunday
2/16/15,Monday
2/16/15,Monday
2/16/15,Monday
2/16/15,Monday
2/16/15,Monday
2/16/15,Monday
2/16/15,Monday
2/16/15,Monday
2/16/15,Monday
2/17/15,Tuesday
2/17/15,Tuesday
2/17/15,Tuesday
2/17/15,Tuesday
2/18/15,Wednesday
2/18/15,Wednesday
2/18/15,Wednesday
5/14/15,Thursday
5/14/15,Thursday
5/14/15,Thursday
5/14/15,Thursday
5/14/15,Thursday
5/14/15,Thursday
5/21/15,Thursday
5/21/15,Thursday
5/21/15,Thursday
5/21/15,Thursday
5/21/15,Thursday
5/21/15,Thursday
5/28/15,Thursday
5/28/15,Thursday
5/28/15,Thursday
5/28/15,Thursday
6/4/15,Thursday
2/22/15,Sunday
2/22/15,Sunday
2/22/15,Sunday
2/22/15,Sunday
2/22/15,Sunday
2/22/15,Sunday
2/23/15,Monday
2/23/15,Monday
2/24/15,Tuesday
2/24/15,Tuesday
2/24/15,Tuesday
2/24/15,Tuesday
2/25/15,Wednesday
2/25/15,Wednesday
2/25/15,Wednesday
6/4/15,Thursday
6/4/15,Thursday
6/11/15,Thursday
6/11/15,Thursday
6/11/15,Thursday
6/11/15,Thursday
6/18/15,Thursday
6/18/15,Thursday
6/25/15,Thursday
6/25/15,Thursday
3/1/15,Sunday
3/1/15,Sunday
3/1/15,Sunday
3/1/15,Sunday
3/1/15,Sunday
3/1/15,Sunday
3/2/15,Monday
3/2/15,Monday
3/2/15,Monday
3/2/15,Monday
3/2/15,Monday
3/3/15,Tuesday
3/3/15,Tuesday
3/4/15,Wednesday
3/4/15,Wednesday
3/4/15,Wednesday
3/4/15,Wednesday
3/4/15,Wednesday
6/25/15,Thursday
7/2/15,Thursday
7/9/15,Thursday
7/16/15,Thursday
7/16/15,Thursday
7/16/15,Thursday
7/23/15,Thursday
7/23/15,Thursday
8/6/15,Thursday
8/13/15,Thursday
8/13/15,Thursday
8/13/15,Thursday
3/8/15,Sunday
3/8/15,Sunday
3/8/15,Sunday
3/8/15,Sunday
3/8/15,Sunday
3/8/15,Sunday
3/8/15,Sunday
3/9/15,Monday
3/9/15,Monday
3/9/15,Monday
3/9/15,Monday
3/9/15,Monday
3/11/15,Wednesday
3/11/15,Wednesday
3/11/15,Wednesday
8/13/15,Thursday
8/13/15,Thursday
8/20/15,Thursday
8/20/15,Thursday
8/27/15,Thursday
8/27/15,Thursday
9/10/15,Thursday
9/10/15,Thursday
9/17/15,Thursday
9/24/15,Thursday
10/1/15,Thursday
10/1/15,Thursday
10/8/15,Thursday
10/15/15,Thursday
10/22/15,Thursday
10/29/15,Thursday
3/15/15,Sunday
3/15/15,Sunday
3/15/15,Sunday
3/15/15,Sunday
3/15/15,Sunday
3/16/15,Monday
3/16/15,Monday
3/17/15,Tuesday
3/17/15,Tuesday
3/17/15,Tuesday
3/17/15,Tuesday
3/18/15,Wednesday
3/18/15,Wednesday
3/18/15,Wednesday
3/18/15,Wednesday
3/18/15,Wednesday
11/5/15,Thursday
11/5/15,Thursday
11/12/15,Thursday
11/26/15,Thursday
12/24/15,Thursday
12/31/15,Thursday
1/16/15,Friday
1/16/15,Friday
1/23/15,Friday
1/23/15,Friday
1/23/15,Friday
3/22/15,Sunday
3/22/15,Sunday
3/22/15,Sunday
3/22/15,Sunday
3/22/15,Sunday
3/23/15,Monday
3/23/15,Monday
3/23/15,Monday
3/24/15,Tuesday
3/24/15,Tuesday
3/24/15,Tuesday
3/24/15,Tuesday
3/24/15,Tuesday
3/25/15,Wednesday
3/25/15,Wednesday
3/25/15,Wednesday
1/23/15,Friday
1/30/15,Friday
1/30/15,Friday
1/30/15,Friday
2/6/15,Friday
2/6/15,Friday
2/6/15,Friday
2/13/15,Friday
2/13/15,Friday
2/13/15,Friday
3/29/15,Sunday
3/29/15,Sunday
3/29/15,Sunday
3/29/15,Sunday
3/30/15,Monday
3/30/15,Monday
3/30/15,Monday
3/31/15,Tuesday
3/31/15,Tuesday
3/31/15,Tuesday
3/31/15,Tuesday
3/31/15,Tuesday
4/1/15,Wednesday
4/1/15,Wednesday
4/1/15,Wednesday
4/1/15,Wednesday
4/1/15,Wednesday
4/1/15,Wednesday
4/1/15,Wednesday
2/13/15,Friday
2/20/15,Friday
2/20/15,Friday
2/20/15,Friday
2/20/15,Friday
2/20/15,Friday
2/20/15,Friday
2/20/15,Friday
2/20/15,Friday
2/20/15,Friday
2/27/15,Friday
4/5/15,Sunday
4/5/15,Sunday
4/5/15,Sunday
4/5/15,Sunday
4/5/15,Sunday
4/5/15,Sunday
4/6/15,Monday
4/6/15,Monday
4/6/15,Monday
4/6/15,Monday
4/6/15,Monday
4/6/15,Monday
4/6/15,Monday
4/7/15,Tuesday
4/8/15,Wednesday
4/8/15,Wednesday
4/8/15,Wednesday
4/8/15,Wednesday
4/8/15,Wednesday
2/27/15,Friday
3/6/15,Friday
3/6/15,Friday
3/6/15,Friday
3/13/15,Friday
3/13/15,Friday
3/13/15,Friday
3/13/15,Friday
3/20/15,Friday
3/27/15,Friday
4/3/15,Friday
4/3/15,Friday
4/10/15,Friday
4/10/15,Friday
4/10/15,Friday
4/10/15,Friday
4/12/15,Sunday
4/12/15,Sunday
4/12/15,Sunday
4/12/15,Sunday
4/12/15,Sunday
4/13/15,Monday
4/14/15,Tuesday
4/14/15,Tuesday
4/14/15,Tuesday
4/14/15,Tuesday
4/14/15,Tuesday
4/14/15,Tuesday
4/14/15,Tuesday
4/15/15,Wednesday
4/15/15,Wednesday
4/15/15,Wednesday
4/15/15,Wednesday
4/10/15,Friday
4/10/15,Friday
4/10/15,Friday
4/17/15,Friday
4/24/15,Friday
4/24/15,Friday
5/1/15,Friday
4/19/15,Sunday
4/19/15,Sunday
4/19/15,Sunday
4/19/15,Sunday
4/19/15,Sunday
4/20/15,Monday
4/20/15,Monday
4/21/15,Tuesday
4/21/15,Tuesday
4/22/15,Wednesday
5/1/15,Friday
5/1/15,Friday
5/1/15,Friday
5/8/15,Friday
5/8/15,Friday
5/8/15,Friday
5/15/15,Friday
4/26/15,Sunday
4/26/15,Sunday
4/26/15,Sunday
4/26/15,Sunday
4/27/15,Monday
4/27/15,Monday
4/28/15,Tuesday
4/28/15,Tuesday
4/28/15,Tuesday
4/28/15,Tuesday
4/29/15,Wednesday
4/29/15,Wednesday
5/15/15,Friday
5/22/15,Friday
5/22/15,Friday
5/29/15,Friday
5/29/15,Friday
6/5/15,Friday
6/5/15,Friday
6/12/15,Friday
6/19/15,Friday
6/26/15,Friday
6/26/15,Friday
7/3/15,Friday
7/3/15,Friday
5/3/15,Sunday
5/3/15,Sunday
5/3/15,Sunday
5/4/15,Monday
5/4/15,Monday
5/4/15,Monday
5/4/15,Monday
5/5/15,Tuesday
5/5/15,Tuesday
5/6/15,Wednesday
5/6/15,Wednesday
7/3/15,Friday
7/10/15,Friday
7/17/15,Friday
7/24/15,Friday
7/24/15,Friday
7/31/15,Friday
7/31/15,Friday
7/31/15,Friday
7/31/15,Friday
8/7/15,Friday
8/7/15,Friday
8/7/15,Friday
5/10/15,Sunday
5/12/15,Tuesday
5/12/15,Tuesday
5/13/15,Wednesday
8/21/15,Friday
8/21/15,Friday
8/21/15,Friday
8/21/15,Friday
8/28/15,Friday
8/28/15,Friday
8/28/15,Friday
9/4/15,Friday
9/4/15,Friday
5/17/15,Sunday
5/17/15,Sunday
5/17/15,Sunday
5/18/15,Monday
5/18/15,Monday
5/19/15,Tuesday
5/19/15,Tuesday
5/19/15,Tuesday
5/19/15,Tuesday
5/20/15,Wednesday
9/11/15,Friday
9/11/15,Friday
9/11/15,Friday
9/18/15,Friday
9/18/15,Friday
9/18/15,Friday
9/18/15,Friday
9/25/15,Friday
10/2/15,Friday
10/2/15,Friday
10/2/15,Friday
10/9/15,Friday
10/16/15,Friday
5/24/15,Sunday
5/24/15,Sunday
5/24/15,Sunday
5/25/15,Monday
5/26/15,Tuesday
5/26/15,Tuesday
5/27/15,Wednesday
5/27/15,Wednesday
5/27/15,Wednesday
5/27/15,Wednesday
10/16/15,Friday
10/23/15,Friday
10/23/15,Friday
10/30/15,Friday
11/6/15,Friday
11/6/15,Friday
11/6/15,Friday
11/13/15,Friday
5/31/15,Sunday
5/31/15,Sunday
5/31/15,Sunday
6/2/15,Tuesday
6/2/15,Tuesday
6/2/15,Tuesday
6/2/15,Tuesday
6/2/15,Tuesday
6/3/15,Wednesday
6/3/15,Wednesday
6/3/15,Wednesday
6/3/15,Wednesday
11/20/15,Friday
11/27/15,Friday
11/27/15,Friday
12/4/15,Friday
12/4/15,Friday
12/11/15,Friday
12/11/15,Friday
12/25/15,Friday
1/1/16,Friday
6/7/15,Sunday
6/7/15,Sunday
6/8/15,Monday
6/8/15,Monday
6/8/15,Monday
6/8/15,Monday
6/9/15,Tuesday
6/9/15,Tuesday
6/9/15,Tuesday
6/10/15,Wednesday
6/10/15,Wednesday
6/10/15,Wednesday
1/8/16,Friday
1/17/15,Saturday
1/17/15,Saturday
1/17/15,Saturday
1/17/15,Saturday
1/17/15,Saturday
1/17/15,Saturday
6/14/15,Sunday
6/14/15,Sunday
6/14/15,Sunday
6/14/15,Sunday
6/15/15,Monday
6/15/15,Monday
6/15/15,Monday
6/15/15,Monday
6/17/15,Wednesday
1/17/15,Saturday
1/24/15,Saturday
1/24/15,Saturday
1/24/15,Saturday
1/24/15,Saturday
6/21/15,Sunday
6/24/15,Wednesday
6/24/15,Wednesday
6/24/15,Wednesday
6/24/15,Wednesday
6/24/15,Wednesday
1/24/15,Saturday
1/24/15,Saturday
1/24/15,Saturday
1/31/15,Saturday
1/31/15,Saturday
6/28/15,Sunday
6/28/15,Sunday
6/28/15,Sunday
6/28/15,Sunday
6/29/15,Monday
6/29/15,Monday
6/29/15,Monday
6/29/15,Monday
6/30/15,Tuesday
7/1/15,Wednesday
7/1/15,Wednesday
7/1/15,Wednesday
7/1/15,Wednesday
7/1/15,Wednesday
7/1/15,Wednesday
1/31/15,Saturday
1/31/15,Saturday
1/31/15,Saturday
1/31/15,Saturday
1/31/15,Saturday
1/31/15,Saturday
7/6/15,Monday
7/6/15,Monday
7/6/15,Monday
7/6/15,Monday
7/7/15,Tuesday
7/7/15,Tuesday
7/7/15,Tuesday
7/7/15,Tuesday
7/7/15,Tuesday
7/8/15,Wednesday
2/7/15,Saturday
2/7/15,Saturday
2/7/15,Saturday
2/7/15,Saturday
7/12/15,Sunday
7/12/15,Sunday
7/12/15,Sunday
7/12/15,Sunday
7/13/15,Monday
7/13/15,Monday
7/14/15,Tuesday
7/14/15,Tuesday
7/14/15,Tuesday
7/15/15,Wednesday
7/15/15,Wednesday
2/7/15,Saturday
2/7/15,Saturday
2/7/15,Saturday
2/14/15,Saturday
2/14/15,Saturday
7/19/15,Sunday
7/19/15,Sunday
7/20/15,Monday
7/20/15,Monday
7/20/15,Monday
7/21/15,Tuesday
7/21/15,Tuesday
7/22/15,Wednesday
7/22/15,Wednesday
2/21/15,Saturday
2/21/15,Saturday
2/21/15,Saturday
2/21/15,Saturday
2/21/15,Saturday
2/28/15,Saturday
2/28/15,Saturday
2/28/15,Saturday
7/26/15,Sunday
7/26/15,Sunday
7/26/15,Sunday
7/26/15,Sunday
7/26/15,Sunday
7/26/15,Sunday
7/27/15,Monday
7/27/15,Monday
7/28/15,Tuesday
7/28/15,Tuesday
7/29/15,Wednesday
7/29/15,Wednesday
7/29/15,Wednesday
2/28/15,Saturday
3/7/15,Saturday
3/7/15,Saturday
3/7/15,Saturday
3/7/15,Saturday
3/7/15,Saturday
3/7/15,Saturday
8/2/15,Sunday
8/2/15,Sunday
8/2/15,Sunday
8/3/15,Monday
8/5/15,Wednesday
8/5/15,Wednesday
8/5/15,Wednesday
8/5/15,Wednesday
3/7/15,Saturday
3/7/15,Saturday
3/14/15,Saturday
3/14/15,Saturday
3/14/15,Saturday
3/14/15,Saturday
3/14/15,Saturday
3/21/15,Saturday
3/21/15,Saturday
8/9/15,Sunday
8/9/15,Sunday
8/9/15,Sunday
8/10/15,Monday
8/10/15,Monday
8/11/15,Tuesday
8/11/15,Tuesday
8/11/15,Tuesday
8/11/15,Tuesday
8/11/15,Tuesday
8/11/15,Tuesday
8/12/15,Wednesday
8/12/15,Wednesday
3/21/15,Saturday
3/21/15,Saturday
3/21/15,Saturday
3/28/15,Saturday
3/28/15,Saturday
3/28/15,Saturday
3/28/15,Saturday
8/17/15,Monday
8/17/15,Monday
8/17/15,Monday
8/17/15,Monday
8/18/15,Tuesday
8/19/15,Wednesday
3/28/15,Saturday
3/28/15,Saturday
4/4/15,Saturday
4/4/15,Saturday
4/4/15,Saturday
4/11/15,Saturday
4/11/15,Saturday
4/11/15,Saturday
8/23/15,Sunday
8/23/15,Sunday
8/24/15,Monday
8/24/15,Monday
8/24/15,Monday
8/25/15,Tuesday
8/25/15,Tuesday
8/26/15,Wednesday
8/26/15,Wednesday
